지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),지면온도(°C)
155,2015-01-08 11:00,.1,,2.9,50,33,1,,,,.5
155,2015-01-08 12:00,1.4,,2.6,50,33,1,,,,4.1
155,2015-01-08 13:00,2.7,,2.7,50,31,1,,,,8.5
155,2015-01-08 14:00,3.9,,2.6,50,26,1,,,,9.9
155,2015-01-08 15:00,4.7,,2.7,50,25,1,,,,9
155,2015-01-08 16:00,4.6,,3.4,50,26,1,,,,2.3
155,2015-01-08 17:00,3.8,,1.4,230,27,.8,,,,0
155,2015-01-08 18:00,2.3,,1.2,290,29,0,,,,.5
155,2015-01-08 19:00,3,,1.8,290,26,,,,,.4
155,2015-01-08 20:00,2.4,,2.9,360,36,,,,,.2
155,2015-01-08 21:00,1.8,,2.7,340,31,,,,,0
155,2015-01-08 22:00,1.6,,1.7,360,32,,,,,-.7
155,2015-01-08 23:00,.9,,2.2,290,38,,,,,-1.8
155,2015-01-09 00:00,1,,1.7,290,39,,,,,-2.6
155,2015-01-09 01:00,1.1,,1.5,290,40,,,,,-3.2
155,2015-01-09 02:00,.3,,1,360,43,,,,,-3.9
155,2015-01-09 03:00,-.3,,.9,360,45,,,,,-4.4
155,2015-01-09 04:00,-.6,,.9,360,45,,,,,-5.2
155,2015-01-09 05:00,-.3,,1.6,360,45,,,,,-4.8
155,2015-01-09 06:00,-.6,,1.8,340,47,,,,,-5.2
155,2015-01-09 07:00,-.6,,2.1,20,49,,,,,-5.3
155,2015-01-09 08:00,-.7,,2,290,49,.2,,,,-4.7
155,2015-01-09 09:00,.4,,2.3,20,49,1,,,,-1.5
155,2015-01-09 10:00,1.6,,3.1,50,45,1,,,,-.1
155,2015-01-09 11:00,3.6,,2.6,50,39,1,,,,3
155,2015-01-09 12:00,4.4,,3.8,50,40,1,,,,5.2
155,2015-01-09 13:00,4.6,,4,50,40,1,,,,8.5
155,2015-01-09 14:00,5.5,,3.2,50,38,1,,,,9.8
155,2015-01-09 15:00,6.1,,2.9,50,35,1,,,,8.8
155,2015-01-09 16:00,6.4,,3.3,290,34,1,,,,3.6
155,2015-01-09 17:00,5.2,,2.8,270,40,.8,,,,1.4
155,2015-01-09 18:00,4.5,,2.3,270,42,0,,,,-.3
155,2015-01-09 19:00,4.3,,2,270,41,,,,,.3
155,2015-01-09 20:00,4,,1.7,270,41,,,,,.3
155,2015-01-09 21:00,3,,1.4,320,44,,,,,.2
155,2015-01-09 22:00,2,,1.1,250,47,,,,,.1
155,2015-01-09 23:00,2.9,,1.4,290,45,,,,,-.1
155,2015-01-10 00:00,2.6,,.8,270,47,,,,,-.5
155,2015-01-10 01:00,2.6,,1.6,20,47,,,,,-.8
155,2015-01-10 02:00,2.3,,1.5,90,51,,,,,-1.3
155,2015-01-10 03:00,1.1,,.8,70,54,,,,,-2
155,2015-01-10 04:00,1.4,,.7,50,53,,,,,-2.8
155,2015-01-10 05:00,1,,1.1,230,53,,,,,-3.4
155,2015-01-10 06:00,.4,,.8,140,51,,,,,-3.9
155,2015-01-10 07:00,.6,,1.3,50,46,,,,,-4.1
155,2015-01-10 08:00,.4,,1.1,290,48,.2,,,,-4
155,2015-01-10 09:00,2.8,,1,250,40,1,,,,-1.2
155,2015-01-10 10:00,3.4,,2.4,50,37,1,,,,.1
155,2015-01-10 11:00,4.2,,2,50,32,1,,,,3.6
155,2015-01-10 12:00,5.5,,2.5,50,27,1,,,,7.3
155,2015-01-10 13:00,6.8,,2.4,50,26,1,,,,12.3
155,2015-01-10 14:00,7.1,,3.5,50,27,1,,,,11.6
155,2015-01-10 15:00,7.5,,3,50,27,1,,,,10.7
155,2015-01-10 16:00,7.7,,1.4,70,26,1,,,,4.6
155,2015-01-10 17:00,6,,1,230,32,.9,,,,2
155,2015-01-10 18:00,5,,1,290,40,0,,,,.5
155,2015-01-10 19:00,4.3,,.8,270,46,,,,,.4
155,2015-01-10 20:00,3.2,,.6,360,52,,,,,.3
155,2015-01-10 21:00,2.9,,.9,340,45,,,,,.2
155,2015-01-10 22:00,2.9,,1.5,340,44,,,,,0
155,2015-01-10 23:00,3.1,,2.1,340,40,,,,,-.5
155,2015-01-11 00:00,2.4,,1.4,320,41,,,,,-.9
155,2015-01-11 01:00,1.7,,1.2,320,44,,,,,-1.5
155,2015-01-11 02:00,1.1,,.9,270,46,,,,,-2
155,2015-01-11 03:00,.8,,.3,0,47,,,,,-2.6
155,2015-01-11 04:00,-.2,,1,270,55,,,,,-3
155,2015-01-11 05:00,-.2,,.2,0,61,,,,,-3.6
155,2015-01-11 06:00,-.7,,.9,270,63,,,,,-3.7
155,2015-01-11 07:00,-.7,,.4,0,66,,,,,-4
155,2015-01-11 08:00,-.7,,.7,200,70,0,,,,-3.6
155,2015-01-11 09:00,1.2,,.2,0,65,.9,,,,-1.1
155,2015-01-11 10:00,3.9,,.7,270,57,,,,,.1
155,2015-01-11 11:00,5.2,,1.1,90,56,,,,,3.5
155,2015-01-11 12:00,9,,2.5,290,29,,,,,7.2
155,2015-01-11 13:00,9.6,,4.9,290,19,,,,,8.9
155,2015-01-11 14:00,9.7,,4.2,290,20,,,,,10.2
155,2015-01-11 15:00,9.9,,1.9,290,21,,,,,10.5
155,2015-01-11 16:00,8.8,,3.4,290,22,,,,,3.8
155,2015-01-11 17:00,7.2,,4,290,24,.9,,,,1.4
155,2015-01-11 18:00,5.6,,2.4,250,24,0,,,,-.5
155,2015-01-11 19:00,5.1,,2.6,290,24,,,,,.3
155,2015-01-11 20:00,4,,2.3,270,26,,,,,0
155,2015-01-11 21:00,3.3,,2.1,270,34,,,,,-.6
155,2015-01-11 22:00,2.9,,1.7,180,35,,,,,-1.1
155,2015-01-11 23:00,2.2,,2.6,270,35,,,,,-1.6
155,2015-01-12 00:00,1.6,,2.5,270,35,,,,,-2.2
155,2015-01-12 01:00,1.1,,1.6,160,37,,,,,-2.7
155,2015-01-12 02:00,.4,,1.5,110,42,,,,,-3.1
155,2015-01-12 03:00,-.3,,2.4,20,47,,,,,-3.4
155,2015-01-12 04:00,-.6,,1.7,180,48,,,,,-3.9
155,2015-01-12 05:00,-1,,1.7,270,47,,,,,-4.2
155,2015-01-12 06:00,-1.4,,2.7,360,45,,,,,-4.6
155,2015-01-12 07:00,-1.7,,2.3,180,42,,,,,-5
155,2015-01-12 08:00,-1.4,,2.7,20,41,.1,,,,-4.6
155,2015-01-12 09:00,-.9,,3.2,50,41,1,,,,-2.2
155,2015-01-12 10:00,-.1,,3.9,50,38,1,,,,-.1
155,2015-01-12 11:00,1.1,,2.9,50,36,1,,,,3.2
155,2015-01-12 12:00,2.8,,2.9,50,34,1,,,,7.6
155,2015-01-12 13:00,3.7,,2.2,20,31,1,,,,10.7
155,2015-01-12 14:00,4.8,,2.4,50,30,1,,,,11.1
155,2015-01-12 15:00,6.1,,1.6,50,29,1,,,,10.8
155,2015-01-12 16:00,5.5,,2.4,50,29,1,,,,3.5
155,2015-01-12 17:00,4.6,,.7,270,31,.9,,,,.7
155,2015-01-12 18:00,3.4,,.6,320,34,0,,,,.3
155,2015-01-12 19:00,3.2,,.8,290,34,,,,,.1
155,2015-01-12 20:00,2.3,,.2,0,42,,,,,-.4
155,2015-01-12 21:00,1.8,,1,20,47,,,,,-1.3
155,2015-01-12 22:00,1.7,,2,20,48,,,,,-1.9
155,2015-01-12 23:00,.9,,1.5,360,48,,,,,-2.5
155,2015-01-13 00:00,1.3,,1.7,20,46,,,,,-3
155,2015-01-13 01:00,.8,,1.3,320,46,,,,,-3.3
155,2015-01-13 02:00,.3,,1.3,20,52,,,,,-3.7
155,2015-01-13 03:00,-.1,,1.8,360,52,,,,,-3.8
155,2015-01-13 04:00,-.3,,1.8,360,51,,,,,-4.2
155,2015-01-13 05:00,-.7,,1.7,360,52,,,,,-4.4
155,2015-01-13 06:00,-.5,,1.9,20,54,,,,,-4.6
155,2015-01-13 07:00,-.9,,1.5,20,55,,,,,-4.5
155,2015-01-13 08:00,-.9,,2.2,20,55,.1,,,,-4.2
155,2015-01-13 09:00,0,,2.3,50,51,1,,,,-1.4
155,2015-01-13 10:00,1.2,,2.6,50,47,1,,,,.1
155,2015-01-13 11:00,3.2,,2,20,42,1,,,,4.6
155,2015-01-13 12:00,5,,1.6,20,39,1,,,,7.9
155,2015-01-13 13:00,6.9,,1.4,360,38,1,,,,10.9
155,2015-01-13 14:00,8.8,,1.6,20,36,1,,,,13.9
155,2015-01-13 15:00,8.4,,1.5,50,35,.4,,,,10.4
155,2015-01-13 16:00,8.6,,2.1,50,34,0,,,,8.1
155,2015-01-13 17:00,8.1,,.5,20,33,0,,,,4.9
155,2015-01-13 18:00,6.5,,.1,0,40,0,,,,2.1
155,2015-01-13 19:00,5,,.4,0,47,,,,,.9
155,2015-01-13 20:00,5.4,,.2,0,46,,,,,.9
155,2015-01-13 21:00,4.7,,.2,0,49,,,,,.3
155,2015-01-13 22:00,4.5,,.9,270,52,,,,,-.1
155,2015-01-13 23:00,4.4,,1.4,340,57,,,,,.1
155,2015-01-14 00:00,4.9,,.5,320,49,,,,,.8
155,2015-01-14 01:00,4,,.9,320,56,,,,,.8
155,2015-01-14 02:00,4.5,,1.7,360,50,,,,,1
155,2015-01-14 03:00,3.9,,1.2,340,54,,,,,.4
155,2015-01-14 04:00,3.9,,.5,290,53,,,,,.7
155,2015-01-14 05:00,3.2,,.7,90,57,,,,,-.3
155,2015-01-14 06:00,3.7,,1.5,340,55,,,,,.5
155,2015-01-14 07:00,3.9,,.8,290,54,,,,,.9
155,2015-01-14 08:00,4,,1.1,320,54,0,,,,1.4
155,2015-01-14 09:00,4.5,,.6,50,51,0,,,,2.6
155,2015-01-14 10:00,4.1,,.9,320,56,0,,,,3
155,2015-01-14 11:00,4.4,,.4,0,65,0,,,,5.4
155,2015-01-14 12:00,5.2,.2,1.1,110,61,0,,,,7.4
155,2015-01-14 13:00,5.5,,.7,70,69,0,,,,9
155,2015-01-14 14:00,6,,.6,140,67,0,,,,7.8
155,2015-01-14 15:00,6.1,.2,.6,270,72,0,,,,7.1
155,2015-01-14 16:00,6,,.8,360,74,0,,,,6.2
155,2015-01-14 17:00,5.8,,1.9,360,73,0,,,,5.2
155,2015-01-14 18:00,5.5,.1,1.8,20,71,0,,,,4.4
155,2015-01-14 19:00,5.2,,1.6,20,75,,,,,4.2
155,2015-01-14 20:00,4.9,,1.5,340,76,,,,,4
155,2015-01-14 21:00,4.9,.5,2.4,360,76,,,,,3.9
155,2015-01-14 22:00,4.8,,2.5,20,75,,,,,3.7
155,2015-01-14 23:00,4.5,,1.2,250,72,,,,,3.6
155,2015-01-15 00:00,4.4,0,2.5,20,71,,,,,3.3
155,2015-01-15 01:00,4.6,,1.6,50,69,,,,,3.2
155,2015-01-15 02:00,4.6,,2.4,50,68,,,,,3
155,2015-01-15 03:00,4.9,0,.6,340,70,,,,,3.1
155,2015-01-15 04:00,4.7,,.4,0,71,,,,,3.2
155,2015-01-15 05:00,5.4,,.7,360,71,,,,,3.1
155,2015-01-15 06:00,6.2,,1.7,360,68,,,,,3.5
155,2015-01-15 07:00,5.2,,.8,290,70,,,,,1.3
155,2015-01-15 08:00,4.8,,1.7,230,66,0,,,,1.2
155,2015-01-15 09:00,5.6,,.6,180,60,1,,,,4.8
155,2015-01-15 10:00,8,,1.5,110,52,.8,,,,9.7
155,2015-01-15 11:00,9.5,,2.4,20,52,1,,,,12.3
155,2015-01-15 12:00,10.1,,2,20,49,.3,,,,13.2
155,2015-01-15 13:00,9.5,,2.2,50,49,0,,,,12.2
155,2015-01-15 14:00,10.2,,2.1,200,46,.2,,,,12
155,2015-01-15 15:00,10.1,,4.8,50,42,1,,,,12.8
155,2015-01-15 16:00,10.4,,2.2,20,45,1,,,,7.5
155,2015-01-15 17:00,9.9,,.6,180,47,.9,,,,5.3
155,2015-01-15 18:00,8.7,,.7,290,48,0,,,,2.9
155,2015-01-15 19:00,7,,.4,0,54,,,,,1.3
155,2015-01-15 20:00,7,,.6,270,55,,,,,.6
155,2015-01-15 21:00,5.7,,.1,0,62,,,,,0
155,2015-01-15 22:00,5.4,,.5,270,62,,,,,-.4
155,2015-01-15 23:00,4.9,,1.1,270,65,,,,,.4
155,2015-01-16 00:00,4.5,,1.2,320,67,,,,,.3
155,2015-01-16 01:00,3.9,,.7,290,68,,,,,.3
155,2015-01-16 02:00,4.1,,.7,340,64,,,,,.1
155,2015-01-16 03:00,2.9,,1.3,340,73,,,,,-.2
155,2015-01-16 04:00,3.2,,.8,290,71,,,,,-.7
155,2015-01-16 05:00,2.1,,1.1,340,77,,,,,-1
155,2015-01-16 06:00,1.8,,.6,290,76,,,,,-1.5
155,2015-01-16 07:00,2,,.9,340,75,,,,,-1.7
155,2015-01-16 08:00,1.5,,1,320,78,0,,,,-1.5
155,2015-01-16 09:00,2.1,,1,50,74,.2,,,,-.2
155,2015-01-16 10:00,3.9,,1.3,20,69,.7,,,,.3
155,2015-01-16 11:00,6.9,,1.5,110,53,,,,,12.1
155,2015-01-16 12:00,7.5,,2.5,20,48,,,,,16
155,2015-01-16 13:00,8.5,,2.1,50,42,,,,,15.8
155,2015-01-16 14:00,8.9,,1.4,320,39,,,,,12.8
