년도,지역,상세지역,성별,연령대,분야,건수
2019,경상남도,경상남도 함안군,여,30,도로 분야,4
2019,경상남도,경상남도 함안군,여,40,교통 분야,2
2019,경상남도,경상남도 함안군,여,40,도로 분야,1
2019,경상남도,경상남도 함양군,남,20,교통 분야,1
2019,경상남도,경상남도 함양군,남,30,교통 분야,1
2019,경상남도,경상남도 함양군,남,30,도로 분야,2
2019,경상남도,경상남도 함양군,남,40,도로 분야,9
2019,경상남도,경상남도 함양군,남,50,교통 분야,3
2019,경상남도,경상남도 함양군,남,50,도로 분야,2
2019,경상남도,경상남도 함양군,남,60,교통 분야,4
2019,경상남도,경상남도 함양군,남,60,도로 분야,1
2019,경상남도,경상남도 함양군,여,40,교통 분야,1
2019,경상남도,경상남도 함양군,여,50,교통 분야,1
2019,경상남도,경상남도 합천군,남,20,교통 분야,1
2019,경상남도,경상남도 합천군,남,30,교통 분야,1
2019,경상남도,경상남도 합천군,남,30,도로 분야,1
2019,경상남도,경상남도 합천군,남,40,교통 분야,1
2019,경상남도,경상남도 합천군,남,40,도로 분야,3
2019,경상남도,경상남도 합천군,남,60,도로 분야,2
2019,경상남도,경상남도 합천군,여,20,교통 분야,1
2019,경상남도,경상남도 합천군,여,40,도로 분야,1
2018,경상남도,경상남도,남,30,도로 분야,2
2018,경상남도,경상남도 거제시,남,10,교통 분야,4
2018,경상남도,경상남도 거제시,남,20,교통 분야,15
2018,경상남도,경상남도 거제시,남,20,도로 분야,12
2018,경상남도,경상남도 거제시,남,30,교통 분야,58
2018,경상남도,경상남도 거제시,남,30,도로 분야,59
2018,경상남도,경상남도 거제시,남,40,교통 분야,33
2018,경상남도,경상남도 거제시,남,40,도로 분야,40
2018,경상남도,경상남도 거제시,남,50,교통 분야,13
2018,경상남도,경상남도 거제시,남,50,도로 분야,39
2018,경상남도,경상남도 거제시,남,60,교통 분야,5
2018,경상남도,경상남도 거제시,남,60,도로 분야,17
2018,경상남도,경상남도 거제시,남,70,교통 분야,2
2018,경상남도,경상남도 거제시,남,70,도로 분야,1
2018,경상남도,경상남도 거제시,여,10,교통 분야,3
2018,경상남도,경상남도 거제시,여,20,교통 분야,29
2018,경상남도,경상남도 거제시,여,20,도로 분야,10
2018,경상남도,경상남도 거제시,여,30,교통 분야,37
2018,경상남도,경상남도 거제시,여,30,도로 분야,32
2018,경상남도,경상남도 거제시,여,40,교통 분야,27
2018,경상남도,경상남도 거제시,여,40,도로 분야,22
2018,경상남도,경상남도 거제시,여,50,교통 분야,5
2018,경상남도,경상남도 거제시,여,50,도로 분야,17
2018,경상남도,경상남도 거제시,여,60,도로 분야,7
2018,경상남도,경상남도 거창군,남,10,교통 분야,1
2018,경상남도,경상남도 거창군,남,20,교통 분야,1
2018,경상남도,경상남도 거창군,남,20,도로 분야,1
2018,경상남도,경상남도 거창군,남,30,교통 분야,4
2018,경상남도,경상남도 거창군,남,30,도로 분야,8
2018,경상남도,경상남도 거창군,남,40,교통 분야,4
2018,경상남도,경상남도 거창군,남,40,도로 분야,12
2018,경상남도,경상남도 거창군,남,50,교통 분야,1
2018,경상남도,경상남도 거창군,남,50,도로 분야,7
2018,경상남도,경상남도 거창군,남,60,교통 분야,2
2018,경상남도,경상남도 거창군,남,60,도로 분야,2
2018,경상남도,경상남도 거창군,여,20,교통 분야,4
2018,경상남도,경상남도 거창군,여,20,도로 분야,1
2018,경상남도,경상남도 거창군,여,30,교통 분야,2
2018,경상남도,경상남도 거창군,여,30,도로 분야,5
2018,경상남도,경상남도 거창군,여,40,교통 분야,3
2018,경상남도,경상남도 거창군,여,40,도로 분야,2
