단속구분,단속장소,단속건수,lat,lon
PDA단속,창원시 성산구 내동 내동아파트,14,35.221431,128.662374
PDA단속,창원시 성산구 내동 내동지하도,31,35.2261524,128.6555129
PDA단속,창원시 성산구 내동 노인종합복지회관,25,35.216904,128.705203
PDA단속,창원시 성산구 내동 동성샛별타운,100,35.2190979,128.6668731
PDA단속,창원시 성산구 내동 동우상가,25,35.2172867,128.6689833
PDA단속,창원시 성산구 내동 두산모트롤,12,35.2160505,128.6687851
PDA단속,창원시 성산구 내동 목련상가,75,35.2225014,128.6609762
PDA단속,창원시 성산구 내동 목련아파트,69,35.2217086,128.6625679
PDA단속,창원시 성산구 내동 미주상가,142,35.2170982,128.6704562
PDA단속,창원시 성산구 내동 민원센터,138,35.2174593,128.6695118
PDA단속,창원시 성산구 내동 비앤지스틸아파트,12,35.2187351,128.6614134
PDA단속,창원시 성산구 내동 비엔지스틸아파트,15,35.2187351,128.6614134
PDA단속,창원시 성산구 내동 산업인력공단,4,35.2228897,128.6669595
PDA단속,창원시 성산구 내동 새마을금고,64,35.221736,128.654541
PDA단속,창원시 성산구 내동 셰풀러코리아,31,35.2214308,128.6551241
PDA단속,창원시 성산구 내동 엑스포상가,20,35.2207456,128.664028
PDA단속,창원시 성산구 내동 올림픽맨션,24,35.2236806,128.6589571
PDA단속,창원시 성산구 내동 우체국,1,35.2177834,128.6686469
PDA단속,창원시 성산구 내동 월드메르디앙아파트,9,35.2129877,128.6764835
PDA단속,창원시 성산구 내동 일성그라미아파트,4,35.2184036,128.6682341
PDA단속,창원시 성산구 내동 주민센터,2,35.2174593,128.6695118
PDA단속,창원시 성산구 내동 창원도서관,7,35.224376,128.663743
PDA단속,창원시 성산구 내동 창원세관,2,35.2164947,128.6703806
PDA단속,창원시 성산구 내동 한화아파트,1,35.2245415,128.6574294
PDA단속,창원시 성산구 내동 현대상가,2,35.2170982,128.6704562
PDA단속,창원시 성산구 내동 화인빌,4,35.2175531,128.6685582
PDA단속,창원시 성산구 내동 효성1공장,55,35.2186321,128.6625858
PDA단속,창원시 성산구 내동 효성2공장,6,35.2186321,128.6625858
PDA단속,창원시 성산구 내동 효성중공업,13,35.2186321,128.6625858
