"","parking_ID","parking_name","parking_adr","parking_lat","parking_lng","parking_pay","parking_time","C","D","floating_people","parking_area","remain","rpa","newdata.dansok_s","newdata.zone_s","newdata.pay_s","newdata.time_s","newdata.cctv_s","newdata.pop_s","score","ppg","ppr"
"160","415-2-000156","웅남공단 공영주차장","경상남도 창원시 성산구 신촌동 121",35.213083,128.646514,"무료","24시간",0,36,169.532857165714,180,NA,NA,0.533857654683198,-1.74324961639232,0.436733745542635,0.84927233756328,0.326837859803831,0.636444794387297,170.398967755879,"B",2
"161","415-2-000155","봉산마을 공영주차장","경상남도 창원시 성산구 양곡동 974-3",35.198858,128.627261,"무료","24시간",0,51,578.91,46,NA,NA,0.528001612999493,0.183926406191521,0.436733745542635,0.84927233756328,0.326837859803831,0.50406079345915,188.288327555599,"B",2
"162","415-2-000154","신촌동 12-8 임시 공영주차장","경상남도 창원시 성산구 신촌동 12-8",35.205692,128.626815,"무료","24시간",0,17,555.909761928571,53,NA,NA,0.541275307482559,0.0832530318774397,0.436733745542635,0.84927233756328,0.326837859803831,0.511498589123839,187.488708713936,"B",2
"163","415-2-000153","웅남복지관옆 공영주차장","경상남도 창원시 성산구 양곡동 982",35.196468,128.623444,"무료","24시간",0,0,1.85154761914286,21,NA,NA,0.547912154724091,0.543474171598955,0.436733745542635,0.84927233756328,0.326837859803831,0.690669420816019,193.948996900488,"B",2
"164","415-2-000152","양곡동 830-1 임시 공영주차장","경상남도 창원시 성산구 양곡동 830-1",35.21185,128.621331,"무료","24시간",0,0,68.03095238,200,NA,NA,0.547912154724091,-2.03088782871827,0.436733745542635,0.84927233756328,0.326837859803831,0.669268386257449,167.99136655173,"B",2
"165","415-2-000151","신촌동 504-3 임시 공영주차장","경상남도 창원시 성산구 신촌동 504-3",35.206424,128.652327,"무료","24시간",0,25,853.271904728571,155,NA,NA,0.538152085251249,-1.38370185098489,0.436733745542635,0.84927233756328,0.326837859803831,0.41533789506094,171.82632072237,"B",2
"166","415-2-000150","신촌동 134-7 공영주차장","경상남도 창원시 성산구 신촌동 134-7",35.213798,128.63901,"무료","24시간",0,36,889.331785485714,20,NA,NA,0.533857654683198,0.557856082215252,0.436733745542635,0.84927233756328,0.326837859803831,0.403676884251758,191.0823456406,"B",2
"167","415-2-000149","신촌동 91 임시 공영주차장","경상남도 창원시 성산구 신촌동 91",35.218004,128.646183,"무료","24시간",0,8,16.2795238071429,450,NA,NA,0.544788932492782,-5.6263654827926,0.436733745542635,0.84927233756328,0.326837859803831,0.6860037152521,132.17271107862,"C",3
"168","415-2-000148","신촌동 81-9 임시 공영주차장","경상남도 창원시 성산구 신촌동 81-9",35.206477,128.635416,"무료","24시간",0,4,321.305714271428,60,NA,NA,0.546350543608437,-0.0174203424366417,0.436733745542635,0.84927233756328,0.326837859803831,0.587364628560639,187.291387726422,"B",2
"169","415-2-000147","양곡초등학교정문앞 임시공영주차장","경상남도 창원시 성산구 신촌동 46",35.200926,128.62744,"무료","24시간",4,4781,1382.21345214286,10,NA,NA,-1.31860353126226,0.701675188378225,0.436733745542635,0.84927233756328,-3.24323722420724,0.244289267824382,136.70129783839,"C",3
"170","415-2-000146","신촌동 22-2 임시 공영주차장","경상남도 창원시 성산구 신촌동 22-2",35.20138,128.628753,"무료","24시간",4,4772,2446.87261914286,18,NA,NA,-1.31508990625204,0.586619903447847,0.436733745542635,0.84927233756328,-3.24323722420724,-0.099999226585633,132.142996295088,"C",3
"171","415-2-000145","양곡동 우체국옆 임시 공영주차장","경상남도 창원시 성산구 신촌동 45",35.206831,128.627361,"무료","24시간",3,1354,4819.14845271429,70,NA,NA,0.0193067920749545,-0.161239448599615,0.436733745542635,0.84927233756328,-2.35071845320447,-0.867143586378262,139.262113869985,"C",3
"172","415-2-000100","사파동 119-8 임시 공영주차장","경상남도 창원시 성산구 사파동 119-8",35.222229,128.697921,"무료","24시간",0,1323,161.8561905,11,NA,NA,0.0314092782212789,0.687293277761928,0.436733745542635,0.84927233756328,0.326837859803831,0.638927267736843,189.704737666298,"B",2
"173","415-2-000099","사파동 63-7 임시 공영주차장","경상남도 창원시 성산구 사파동 63-7",35.224314,128.702492,"무료","24시간",0,470,845.145714271429,11,NA,NA,0.364422848634657,0.687293277761928,0.436733745542635,0.84927233756328,0.326837859803831,0.417965734997417,190.825258043037,"B",2
"174","415-2-000098","사파동 17-5 임시 공영주차장","경상남도 창원시 성산구 사파동 17-5",35.229346,128.697017,"무료","24시간",0,0,1320.90773785714,7,NA,NA,0.547912154724091,0.744820920227117,0.436733745542635,0.84927233756328,0.326837859803831,0.264114252875357,191.696912707363,"B",2
"175","415-2-000097","사파동 75-9 임시 공영 주차장","경상남도 창원시 성산구 사파동 75-9",35.223137,128.702157,"무료","24시간",0,562,1397.96595271429,8,NA,NA,0.328505792974597,0.73043900961082,0.436733745542635,0.84927233756328,0.326837859803831,0.239195238793276,189.109839842884,"B",2
"176","415-2-000096","사파동 57-7 임시 공영 주차장","경상남도 창원시 성산구 사파동 57-7",35.226062,128.702619,"무료","24시간",0,0,417.418690442857,9,NA,NA,0.547912154724091,0.716057098994523,0.436733745542635,0.84927233756328,0.326837859803831,0.556283703429858,194.330969000582,"A",1
"177","415-2-000144","죽골마을 공영주차장","경상남도 창원시 성산구 불모산동 381-1",35.190355,128.724372,"무료","24시간",0,1,8975.52833357143,28,NA,NA,0.547521751945178,0.442800797284873,0.436733745542635,0.84927233756328,0.326837859803831,-2.21122985899135,163.919366331485,"B",2
"178","415-2-000143","솟대공원 임시공영주차장","경상남도 창원시 성산구 성주동 104",35.191065,128.702917,"무료","24시간",0,155,90.4776190714286,42,NA,NA,0.487399723992469,0.24145404865671,0.436733745542635,0.84927233756328,0.326837859803831,0.662009603992423,190.037073195513,"B",2
"179","415-2-000142","불모산동 242-8 공영주차장","경상남도 창원시 성산구 불모산동 242-8",35.187106,128.721649,"무료","24시간",0,0,65.7152380928571,68,NA,NA,0.547912154724091,-0.13247562736702,0.436733745542635,0.84927233756328,0.326837859803831,0.670017239796794,186.982977100636,"B",2
"180","415-2-000141","불모산동 296-2  공영주차장","경상남도 창원시 성산구 불모산동 296-2",35.190316,128.722059,"무료","24시간",0,80,1910.09333342857,92,NA,NA,0.516679932410996,-0.477641482158157,0.436733745542635,0.84927233756328,0.326837859803831,0.0735839611962405,177.254663543588,"B",2
"181","415-2-000140","성주동 170  공영주차장","경상남도 창원시 성산구 성주동 170",35.191065,128.702917,"무료","24시간",0,155,90.4776190714286,53,NA,NA,0.487399723992469,0.0832530318774397,0.436733745542635,0.84927233756328,0.326837859803831,0.662009603992423,188.455063027721,"B",2
"182","415-2-000139","성주동 164 공영주차장","경상남도 창원시 성산구 삼정자동 175-2",35.195052,128.714288,"무료","24시간",0,25,3516.587738,34,NA,NA,0.538152085251249,0.356509333587089,0.436733745542635,0.84927233756328,0.326837859803831,-0.445922710019985,180.615826517281,"B",2
"183","415-2-000138","성주동 159 공영주차장","경상남도 창원시 성산구 성주동 159",35.191065,128.702917,"무료","24시간",0,155,90.4776190714286,43,NA,NA,0.487399723992469,0.227072138040413,0.436733745542635,0.84927233756328,0.326837859803831,0.662009603992423,189.893254089351,"B",2
"184","415-2-000053","내동 453 임시 공영주차장","경상남도 창원시 성산구 삼동로128번길",35.220815,128.659087,"무료","24시간",0,7,58.86904762,59,NA,NA,0.545179335271695,-0.00303843182034437,0.436733745542635,0.84927233756328,0.326837859803831,0.672231154525003,188.272160008861,"B",2
"185","415-2-000095","사파동 21-7 임시 공영 주차장","경상남도 창원시 성산구 사파동 21-7",35.228378,128.697346,"무료","24시간",0,0,1090.78119022857,8,NA,NA,0.547912154724091,0.73043900961082,0.436733745542635,0.84927233756328,0.326837859803831,0.338532362503877,192.297274697485,"B",2
"186","415-2-000094","사파중학교옆 공영주차장","경상남도 창원시 성산구 사파정동 628-6",35.218316,128.701389,"무료","24시간",0,94,3191.97904771429,134,NA,NA,0.511214293506204,-1.08168172804264,0.436733745542635,0.84927233756328,0.326837859803831,-0.340951052690634,167.014254556827,"B",2
"187","415-2-000093","삼익1차아파트 옆 공영주차장","경상남도 창원시 성산구 사파정동 산 88-14",35.218153,128.696676,"무료","24시간",0,554,460.676309514286,78,NA,NA,0.331629015205907,-0.276294733529994,0.436733745542635,0.84927233756328,0.326837859803831,0.542295094677416,182.104733192631,"B",2
"188","415-2-000092","사파민원센터옆 임시 공영주차장","경상남도 창원시 성산구 사파동 502-2",35.222208,128.698481,"무료","24시간",0,1931,525.7088095,31,NA,NA,-0.205955611358245,0.399655065435981,0.436733745542635,0.84927233756328,0.326837859803831,0.521264945121768,183.278083421093,"B",2
"189","415-2-000091","사파동 137-8 임시 공영주차장","경상남도 창원시 성산구 사파동 137-8",35.222466,128.69531,"무료","24시간",0,3509,2643.04011914286,12,NA,NA,-0.822011196484048,0.67291136714563,0.436733745542635,0.84927233756328,0.326837859803831,-0.163435690874468,173.003084226969,"B",2
"190","415-2-000137","성주동 144-2 공영주차장","경상남도 창원시 성산구 성주동 144-2",35.191065,128.702917,"무료","24시간",0,155,90.4776190714286,116,NA,NA,0.487399723992469,-0.822807336949293,0.436733745542635,0.84927233756328,0.326837859803831,0.662009603992423,179.394459339453,"B",2
"191","415-2-000136","성주주민운동장 공영주차장","경상남도 창원시 성산구 천선동 1216",35.183973,128.697166,"무료","24시간",0,0,47.0366666657143,40,NA,NA,0.547912154724091,0.270217869889305,0.436733745542635,0.84927233756328,0.326837859803831,0.676057498908544,191.070314664317,"B",2
"192","415-2-000117","남양동 41-1 임시 공영주차장","경상남도 창원시 성산구 남양동 41-1",35.205042,128.704222,"무료","24시간",0,920,859.626904785714,20,NA,NA,0.188741598123496,0.557856082215252,0.436733745542635,0.84927233756328,0.326837859803831,0.413282821033996,187.727244442825,"B",2
"193","415-2-000135","천선동 1155-18 임시 공영주차장","경상남도 창원시 성산구 천선동 1155-18",35.186723,128.694107,"무료","24시간",0,1093,1605.99547585714,25,NA,NA,0.121201917371428,0.485946529133765,0.436733745542635,0.84927233756328,0.326837859803831,0.171922844457439,183.919152338724,"B",2
"194","415-2-000134","천선동 154-2 공영주차장","경상남도 창원시 성산구 천선동 154-2",35.180681,128.71486,"무료","24시간",0,0,18.3292857157143,93,NA,NA,0.547912154724091,-0.492023392774454,0.436733745542635,0.84927233756328,0.326837859803831,0.68534086514638,183.540735700058,"B",2
"195","415-2-000133","성주사 입구 임시 공영주차장","경상남도 창원시 성산구 천선동 148",35.17829,128.714613,"무료","24시간",0,0,3.03130952357143,195,NA,NA,0.547912154724091,-1.95897827563678,0.436733745542635,0.84927233756328,0.326837859803831,0.690287910505088,168.920657325021,"B",2
"196","415-2-000132","안민고개 임시 공영주차장","경상남도 창원시 성산구 천선동 산 52-10",35.169339,128.700416,"무료","24시간",0,0,3.53369047642857,11,NA,NA,0.547912154724091,0.687293277761928,0.436733745542635,0.84927233756328,0.326837859803831,0.690125451018295,195.381748264141,"A",1
"197","415-2-000131","안민동 237 공영주차장","경상남도 창원시 성산구 안민동 237",35.187419,128.689728,"무료","24시간",0,1206,3104.26952371429,37,NA,NA,0.0770864033541807,0.313363601738197,0.436733745542635,0.84927233756328,0.326837859803831,-0.312587628132455,176.907063198697,"B",2
"198","415-2-000130","안민동 산144-7 임시공영주차장","경상남도 창원시 성산구 안민동 산 144-7",35.171732,128.690899,"무료","24시간",0,0,0,8,NA,NA,0.547912154724091,0.73043900961082,0.436733745542635,0.84927233756328,0.326837859803831,0.691268172568582,195.824632798132,"A",1
