,place1,Freq,,
525,차장,5,,
526,창동에,5,,
527,청량,5,,
528,토요일,5,,
529,트리비앙,5,,
530,평행,5,,
531,하나,5,,
532,하나로마트,5,,
533,하수구,5,,
534,한서,5,,
535,할만한곳,5,,
536,행사,5,,
537,회사,5,,
538,회원동,5,,
539,훼손,5,,
540,CCTV,4,,
541,Q세코,4,,
542,Q양덕,4,,
543,Q역,4,,
544,Q팔용동,4,,
545,감계주차단속중입니,4,,
546,개설,4,,
547,건설기계,4,,
548,검사,4,,
549,경상,4,,
550,계곡,4,,
551,고용,4,,
552,공고,4,,
553,공연,4,,
554,공짜,4,,
555,구불,4,,
556,국제,4,,
557,금지표,4,,
558,꼬깔콘,4,,
559,내용,4,,
560,내집,4,,
561,냉무,4,,
562,도매,4,,
563,돌잔치,4,,
564,레이크,4,,
565,마산삼병원,4,,
566,모란,4,,
567,무분별,4,,
568,반림동,4,,
569,방안,4,,
570,번지,4,,
571,복개,4,,
572,복합,4,,
573,봉암동,4,,
574,부당,4,,
575,부영,4,,
576,분수대,4,,
577,분실,4,,
578,불법주정차,4,,
579,불법주차장애인,4,,
580,뷔페,4,,
581,블럭,4,,
582,사고,4,,
583,사이드,4,,
584,삼정,4,,
585,상남도서관,4,,
586,상습적,4,,
587,새벽,4,,
588,생각,4,,
589,서울,4,,
590,선린,4,,
591,세코주차,4,,
592,소답동,4,,
593,소방차,4,,
594,소재,4,,
595,수영장,4,,
596,스타벅스,4,,
597,스포츠센터,4,,
598,식당,4,,
599,신설,4,,
600,실선,4,,
601,아울렛,4,,
602,아이들,4,,
603,애인,4,,
604,양덕우성아파트,4,,
605,양방향,4,,
606,양심,4,,
607,양쪽,4,,
608,어디해야하나요,4,,
609,연락처,4,,
610,영화관,4,,
611,오전,4,,
612,완료,4,,
613,용역,4,,
614,용원동,4,,
615,운행,4,,
616,월영마을,4,,
617,위법,4,,
618,위탁,4,,
619,유목,4,,
620,음식,4,,
621,이후,4,,
622,일괄,4,,
623,있나용,4,,
624,잡초,4,,
625,장애물,4,,
626,장유,4,,
627,장천,4,,
628,저공해,4,,
629,전통,4,,
630,전화,4,,
631,점유물,4,,
632,정도,4,,
633,정보,4,,
634,조성,4,,
635,주거지,4,,
636,주공아파트,4,,
637,주차권,4,,
638,주차대,4,,
639,주차때문에,4,,
640,주차어디해요,4,,
641,주차어때요,4,,
642,주차어떤가요,4,,
643,주차하지,4,,
644,주차할곳있을까요,4,,
645,주차할때,4,,
646,주차해놓고,4,,
647,주차해놓은,4,,
648,주차해둔,4,,
649,중원,4,,
650,중이,4,,
651,중장비,4,,
652,증축,4,,
653,진행,4,,
654,차고,4,,
655,청사,4,,
656,청소,4,,
657,청안동,4,,
658,축구,4,,
659,코너,4,,
660,쿠션,4,,
661,키즈카페,4,,
662,타워,4,,
663,탄력,4,,
664,태백동,4,,
665,파티마병원,4,,
666,풀옵션,4,,
667,플마때,4,,
668,하는곳,4,,
669,하단,4,,
670,학원,4,,
671,할곳,4,,
672,해소방안,4,,
673,헬스,4,,
674,화장실,4,,
675,환경,4,,
676,환경정비,4,,
677,후진,4,,
678,ㅠㅠ,4,,
679,cgv,3,,
680,gs,3,,
681,GS마트,3,,
682,iot발렛파킹,3,,
683,LG,3,,
